url,Md5,begeni,yorum,paylasim
https://www.facebook.com/Hülya-Erdem-111751313846537,059ac34dcc4305b54af17c27d5d50902,19312,18808,2052
https://www.facebook.com/Keles-Belediyesi-1522353218086722,4054c5ec079159608be3fc5abe5f0eb1,1611,1376,249
https://www.facebook.com/besiktasbelediyesi,80a3ae9285b6bee62fcfcc9d8bfeb1eb,7792,310,382
https://www.facebook.com/SultanbeyliBel,45ead073442e3b0aafee33c373f38d77,1254,30,89
https://www.facebook.com/Arnavutkoybelediyesi,80983ab46139ce77c502a12c19f8e286,9525,479,244
https://www.facebook.com/EsenyurtBLDYS,9effffec735cdd3e79c16a3107eb457d,19373,1301,1841
https://www.facebook.com/Buyukcekmecebld,863b450c037f333f0e65a4d655b400c8,16565,1124,1422
https://www.facebook.com/KaracabeyBel,3c54e754c21bfa320743a5b19e8efb3e,1525,493,130
https://www.facebook.com/profile.php?id=100003563130499,50f2758420ed55a3a55c2dda21b7690c,3667,3545,340
https://www.facebook.com/profile.php?id=621017590,b4b6910b7ddc7fdf592928f6e94eeab6,975,975,123
