begeni,yorum,paylasim
7,7,0
18,20,0
4,0,1
7,7,0
18,20,0
4,0,1
11,0,1
18,10,0
12,0,5
3,0,4
4,0,1
11,0,1
18,10,0
12,0,5
3,0,4
13,14,0
5,7,1
9,8,1
10,6,1
3,0,4
13,14,0
5,7,1
9,8,1
10,6,1
2,0,4
8,0,5
7,4,1
19,8,1
18,12,1
16,5,1
2,0,4
8,0,5
7,4,1
19,8,1
18,12,1
16,5,1
33,17,0
17,0,4
21,18,1
10,0,0
13,11,0
24,15,0
33,17,0
17,0,4
21,18,1
10,0,0
13,11,0
24,15,0
148,3,1
17,11,1
16,9,1
21,18,1
24,15,0
148,3,1
17,11,1
16,9,1
21,18,1
14,9,1
23,9,1
40,1,3
40,2,0
21,18,1
14,9,1
23,9,1
40,1,3
40,2,0
13,0,0
13,0,5
42,5,14
16,0,2
42,1,0
13,0,5
42,5,14
16,0,2
42,1,0
