begeni,yorum,paylasim
3,0,0
11,0,1
8,0,0
4,0,0
17,4,0
3,0,0
11,0,1
8,0,0
4,0,0
17,4,0
6,0,0
10,0,0
6,0,0
26,2,0
9,1,0
17,4,0
6,0,0
10,0,0
6,0,0
26,2,0
9,1,0
10,0,0
20,0,0
10,0,0
23,0,0
14,0,1
9,0,0
10,0,0
20,0,0
10,0,0
23,0,0
14,0,1
9,0,0
1,0,0
7,0,0
1,0,0
17,0,0
1,0,0
9,0,0
1,0,0
7,0,0
1,0,0
17,0,0
1,0,0
26,0,0
14,0,0
6,0,0
16,0,0
17,0,0
1,0,0
26,0,0
14,0,0
6,0,0
16,0,0
23,0,0
8,1,0
23,1,0
12,0,0
6,0,0
16,0,0
23,0,0
8,1,0
23,1,0
12,0,0
12,8,0
5,0,0
16,2,0
13,0,0
5,0,0
17,0,1
21,0,1
12,8,0
5,0,0
16,2,0
13,0,0
5,0,0
17,0,1
21,0,1
18,0,0
35,0,0
10,0,0
77,2,0
16,0,0
21,0,1
18,0,0
35,0,0
10,0,0
77,2,0
16,0,0
10,1,0
19,1,0
18,0,0
38,0,1
77,2,0
16,0,0
10,1,0
19,1,0
18,0,0
38,0,1
9,0,0
9,0,0
