begeni,yorum,paylasim
42,0,0
40,0,1
76,10,0
46,3,4
42,0,0
40,0,1
76,10,0
46,3,4
19,0,1
34,3,4
65,2,2
44,2,1
35,0,1
28,1,0
34,3,4
65,2,2
44,2,1
35,0,1
28,1,0
26,2,2
40,0,0
35,0,0
52,2,0
14,0,0
19,1,0
26,2,2
40,0,0
35,0,0
52,2,0
14,0,0
19,1,0
70,2,3
36,1,1
38,0,2
30,0,0
19,1,0
70,2,3
36,1,1
38,0,2
30,0,0
58,0,0
11,0,0
10,0,0
37,1,0
23,2,0
84,5,4
58,0,0
11,0,0
10,0,0
37,1,0
23,2,0
84,5,4
12,0,2
44,1,0
57,7,0
12,0,2
44,1,0
57,7,0
46,1,0
29,0,0
8,0,2
77,0,0
19,1,0
18,2,0
40,2,0
40,3,1
44,0,1
77,0,0
19,1,0
18,2,0
40,2,0
40,3,1
44,0,1
18,2,0
28,10,0
39,2,0
29,0,0
16,2,0
17,0,0
18,2,0
28,10,0
39,2,0
29,0,0
16,2,0
17,0,0
26,1,0
9,0,7
17,1,0
17,0,0
13,0,0
31,0,0
17,0,0
26,1,0
9,0,7
17,1,0
17,0,0
13,0,0
31,0,0
32,0,0
34,0,0
79,3,0
172,11,0
19,1,0
14,0,0
31,0,0
32,0,0
34,0,0
79,3,0
172,11,0
19,1,0
14,0,0
12,0,4
96,6,2
16,0,4
16,0,0
36,1,0
36,0,0
