begeni,yorum,paylasim
12,1,1
19,0,0
12,1,1
19,0,0
47,0,2
164,7,3
191,50,27
141,30,6
25,0,0
12,1,1
19,0,0
47,0,2
164,7,3
191,50,27
141,30,6
25,0,0
20,0,0
49,1,0
145,15,2
69,0,4
55,2,0
129,5,10
145,15,2
69,0,4
55,2,0
129,5,10
22,0,2
45,0,0
24,0,1
89,0,1
30,0,2
27,0,3
22,0,2
45,0,0
24,0,1
89,0,1
30,0,2
27,0,3
17,0,0
82,2,2
75,0,4
13,0,0
16,0,0
62,1,3
22,0,0
82,2,2
75,0,4
13,0,0
16,0,0
62,1,3
22,0,0
69,0,0
23,0,0
35,1,4
38,0,1
53,0,3
22,0,0
69,0,0
23,0,0
35,1,4
38,0,1
53,0,3
21,0,1
44,1,8
30,1,2
32,0,1
53,0,3
21,0,1
44,1,8
30,1,2
32,0,1
29,0,4
72,0,1
20,0,2
52,0,1
13,0,0
40,2,1
29,0,4
72,0,1
20,0,2
52,0,1
13,0,0
40,2,1
20,0,2
17,0,2
20,0,0
37,0,3
23,1,0
20,0,2
20,0,2
17,0,2
20,0,0
37,0,3
23,1,0
20,0,2
16,0,0
32,0,1
41,0,3
75,4,4
21,0,2
36,0,3
20,0,2
16,0,0
32,0,1
41,0,3
75,4,4
21,0,2
36,0,3
16,0,0
45,0,5
34,1,0
57,4,2
19,0,2
33,1,3
36,0,3
16,0,0
45,0,5
34,1,0
57,4,2
19,0,2
33,1,3
23,0,1
32,1,6
30,0,1
38,0,2
26,1,3
26,0,2
19,0,2
33,1,3
23,0,1
32,1,6
30,0,1
38,0,2
26,1,3
26,0,2
48,1,5
62,0,0
45,2,1
61,6,3
31,0,4
74,0,5
26,0,2
48,1,5
62,0,0
45,2,1
61,6,3
31,0,4
74,0,5
34,0,0
71,0,0
34,0,0
36,0,0
32,0,1
97,0,2
74,0,5
34,0,0
71,0,0
34,0,0
36,0,0
32,0,1
97,0,2
88,5,7
88,5,7
