begeni,yorum,paylasim
34,0,3
35,0,14
61,0,1
81,0,3
41,0,14
34,0,1
35,0,3
61,0,14
81,0,3
41,0,14
41,0,2
35,0,4
124,0,3
311,0,14
41,0,2
41,0,4
41,0,3
35,0,6
124,0,2
311,0,3
41,0,6
535,0,2
61,0,2
41,0,1
16,0,2
41,0,2
535,0,1
61,0,6
41,0,2
16,0,2
33,0,4
101,0,5
183,0,8
12,0,3
16,0,4
33,0,5
101,0,8
183,0,3
12,0,2
55,0,2
96,0,6
36,0,4
41,0,6
12,0,2
55,0,2
96,0,6
36,0,4
41,0,6
57,0,3
80,0,4
49,0,5
82,0,3
36,0,4
56,0,5
447,0,3
80,0,4
34,0,3
35,0,14
61,0,1
81,0,3
41,0,14
34,0,1
35,0,3
61,0,3
81,0,14
41,0,2
41,0,4
35,0,3
124,0,14
41,0,2
41,0,4
35,0,3
124,0,6
311,0,2
41,0,3
535,0,6
61,0,2
41,0,2
16,0,1
41,0,2
535,0,2
61,0,1
41,0,6
16,0,2
33,0,2
101,0,4
183,0,5
12,0,8
16,0,3
33,0,4
101,0,5
183,0,8
12,0,3
55,0,2
96,0,2
36,0,6
41,0,4
12,0,6
55,0,2
96,0,2
36,0,6
41,0,4
57,0,6
80,0,3
49,0,4
82,0,5
36,0,3
56,0,4
447,0,5
80,0,3
49,0,4
34.0,0.0,3.0
35.0,0.0,14.0
61.0,0.0,1.0
81.0,0.0,3.0
41.0,0.0,14.0
34.0,0.0,1.0
35.0,0.0,3.0
61.0,0.0,14.0
81.0,0.0,3.0
41.0,0.0,14.0
41.0,0.0,2.0
35.0,0.0,4.0
124.0,0.0,3.0
311.0,0.0,14.0
41.0,0.0,2.0
41.0,0.0,4.0
41.0,0.0,3.0
35.0,0.0,6.0
124.0,0.0,2.0
311.0,0.0,3.0
41.0,0.0,6.0
535.0,0.0,2.0
61.0,0.0,2.0
41.0,0.0,1.0
16.0,0.0,2.0
41.0,0.0,2.0
535.0,0.0,1.0
61.0,0.0,6.0
41.0,0.0,2.0
16.0,0.0,2.0
33.0,0.0,4.0
101.0,0.0,5.0
183.0,0.0,8.0
12.0,0.0,3.0
16.0,0.0,4.0
33.0,0.0,5.0
101.0,0.0,8.0
183.0,0.0,3.0
12.0,0.0,2.0
55.0,0.0,2.0
96.0,0.0,6.0
36.0,0.0,4.0
41.0,0.0,6.0
12.0,0.0,2.0
55.0,0.0,2.0
96.0,0.0,6.0
36.0,0.0,4.0
41.0,0.0,6.0
57.0,0.0,3.0
80.0,0.0,4.0
49.0,0.0,5.0
82.0,0.0,3.0
36.0,0.0,4.0
56.0,0.0,5.0
447.0,0.0,3.0
80.0,0.0,4.0
34.0,0.0,3.0
35.0,0.0,14.0
61.0,0.0,1.0
81.0,0.0,3.0
41.0,0.0,14.0
34.0,0.0,1.0
35.0,0.0,3.0
61.0,0.0,14.0
81.0,0.0,3.0
41.0,0.0,14.0
41.0,0.0,2.0
35.0,0.0,4.0
311.0,0.0,3.0
41.0,0.0,14.0
41.0,0.0,2.0
41.0,0.0,4.0
35.0,0.0,3.0
311.0,0.0,6.0
41.0,0.0,2.0
535.0,0.0,3.0
61.0,0.0,6.0
41.0,0.0,2.0
16.0,0.0,2.0
41.0,0.0,1.0
535.0,0.0,2.0
61.0,0.0,2.0
41.0,0.0,1.0
16.0,0.0,6.0
33.0,0.0,2.0
101.0,0.0,2.0
183.0,0.0,4.0
12.0,0.0,5.0
16.0,0.0,8.0
33.0,0.0,3.0
101.0,0.0,4.0
183.0,0.0,5.0
12.0,0.0,8.0
55.0,0.0,3.0
96.0,0.0,2.0
36.0,0.0,2.0
41.0,0.0,6.0
12.0,0.0,4.0
55.0,0.0,6.0
96.0,0.0,2.0
36.0,0.0,2.0
41.0,0.0,6.0
57.0,0.0,4.0
80.0,0.0,6.0
49.0,0.0,3.0
82.0,0.0,4.0
36.0,0.0,5.0
56.0,0.0,3.0
447.0,0.0,4.0
80.0,0.0,5.0
49.0,0.0,3.0
82.0,0.0,4.0
34,0,3
35,0,14
61,0,1
81,0,3
41,0,14
34,0,1
35,0,3
61,0,14
81,0,3
41,0,14
41,0,2
35,0,4
311,0,3
41,0,14
41,0,2
41,0,4
35,0,3
311,0,6
41,0,2
535,0,3
61,0,6
41,0,2
16,0,2
41,0,1
535,0,2
61,0,2
41,0,1
16,0,6
33,0,2
101,0,2
183,0,4
12,0,5
16,0,8
33,0,3
101,0,4
183,0,5
12,0,8
55,0,3
96,0,2
36,0,2
41,0,6
12,0,4
55,0,6
96,0,2
36,0,2
41,0,6
57,0,4
80,0,6
49,0,3
82,0,4
36,0,5
56,0,3
447,0,4
80,0,5
49,0,3
82,0,4
34,0,3
35,0,14
61,0,1
81,1,2
41,2,4
34,0,3
35,0,14
61,0,1
81,1,2
41,2,4
41,0,3
35,3,3
311,11,18
41,0,14
41,2,4
41,0,3
35,3,3
311,11,18
41,0,14
535,101,9
61,0,2
41,0,4
16,0,3
41,0,14
535,101,9
61,0,2
41,0,4
16,0,3
33,0,6
101,7,2
183,29,4
12,0,2
16,0,3
33,0,6
101,7,2
183,29,4
12,0,2
55,0,2
96,9,4
36,0,1
41,2,2
12,0,2
55,0,2
96,9,4
36,0,1
41,2,2
57,0,6
80,0,2
49,4,3
82,3,10
36,1,3
56,3,5
447,60,13
80,0,2
49,4,3
82,3,10
36,1,3
56,3,5
447,60,13
35,0,4
21,0,5
53,0,8
23,0,3
33,1,3
35,0,4
21,0,5
53,0,8
23,0,3
33,1,3
61,2,4
22,0,2
14,0,2
31,0,6
52,0,4
55,0,6
107,4,4
61,2,4
22,0,2
14,0,2
31,0,6
52,0,4
55,0,6
107,4,4
93,3,3
17,0,3
22,0,4
17,2,4
20,0,5
107,4,4
93,3,3
17,0,3
22,0,4
17,2,4
20,0,5
42,0,3
35,0,4
50,1,13
74,3,8
34,0,3
35,0,14
61,0,1
81,1,2
41,2,4
34,0,3
35,0,14
61,0,1
81,1,2
41,2,4
41,0,3
35,3,3
311,11,18
41,0,14
41,2,4
41,0,3
35,3,3
311,11,18
41,0,14
535,101,9
61,0,2
41,0,4
16,0,3
41,0,14
535,101,9
61,0,2
41,0,4
16,0,3
33,0,6
101,7,2
183,29,4
12,0,2
16,0,3
33,0,6
101,7,2
183,29,4
12,0,2
55,0,2
96,9,4
36,0,1
41,2,2
12,0,2
55,0,2
96,9,4
36,0,1
41,2,2
57,0,6
80,0,2
49,4,3
82,3,10
36,1,3
56,3,5
447,60,13
80,0,2
49,4,3
82,3,10
36,1,3
56,3,5
447,60,13
35,0,4
21,0,5
53,0,8
23,0,3
33,1,3
35,0,4
21,0,5
53,0,8
23,0,3
