begeni,yorum,paylasim
39,0,8
188,10,2
48,2,6
39,0,8
188,10,2
48,2,6
97,4,13
78,3,9
63,0,5
141,3,4
188,10,2
48,2,6
97,4,13
78,3,9
63,0,5
141,3,4
177,8,6
133,28,24
79,0,8
98,0,1
141,3,4
177,8,6
133,28,24
79,0,8
98,0,1
247,48,19
163,26,13
35,0,4
52,0,5
104,0,5
98,0,1
247,48,19
163,26,13
35,0,4
52,0,5
104,0,5
53,0,3
25,0,4
30,0,3
49,0,0
208,3,12
53,0,3
25,0,4
30,0,3
49,0,0
208,3,12
38,0,1
40,0,2
142,34,42
161,4,13
35,0,5
184,0,24
38,0,1
40,0,2
142,34,42
161,4,13
35,0,5
184,0,24
136,0,9
90,0,11
318,125,135
96,3,4
184,0,24
136,0,9
90,0,11
318,125,135
96,3,4
74,0,7
107,7,10
74,11,5
88,0,3
96,3,4
74,0,7
107,7,10
74,11,5
88,0,3
157,7,8
54,0,8
89,4,7
184,15,10
88,0,3
157,7,8
54,0,8
89,4,7
184,15,10
59,0,4
43,0,5
60,0,3
275,16,26
154,10,15
158,6,12
60,0,3
275,16,26
154,10,15
158,6,12
70,2,1
67,0,26
35,0,2
87,2,8
81,5,9
196,12,27
67,0,26
35,0,2
87,2,8
81,5,9
196,12,27
83,0,2
88,18,13
126,3,14
88,3,8
196,12,27
83,0,2
88,18,13
126,3,14
88,3,8
92,18,1
93,0,2
102,4,1
55,3,1
88,3,8
92,18,1
93,0,2
102,4,1
55,3,1
53,8,6
96,1,4
79,11,16
47,0,6
39,2,14
55,3,1
53,8,6
96,1,4
79,11,16
47,0,6
39,2,14
38,0,3
79,0,7
177,31,4
113,2,11
34,0,7
79,16,11
38,0,3
79,0,7
177,31,4
113,2,11
34,0,7
79,16,11
47,0,14
183,67,27
43,0,9
52,0,3
109,0,6
79,16,11
47,0,14
183,67,27
43,0,9
52,0,3
109,0,6
43,2,2
319,18,31
17,0,1
65,1,1
52,0,3
109,0,6
43,2,2
319,18,31
17,0,1
65,1,1
37,0,2
96,0,6
86,1,4
90,0,2
17,0,1
65,1,1
37,0,2
96,0,6
86,1,4
90,0,2
41,0,5
139,0,6
33,0,4
121,1,8
